Field1	output_LHBphono_Serena	output_MSFT_IPAphono	output_ortho_Serena	ID	output_MSFT_name	same_ortho	same_phono	same_ortho_space_ignore	same_phono_space_ignore	init_ortho_vs_Serena	init_ortho_vs_MSFT	init_phono_vs_Serena	init_phono_vs_MSFT	init_ortho
25	Can you direct me to the wood northern thanks	Can you direct me to the would not know thanks?	Can you direct me to the wood northern	26	Can you direct me to the woodnorton thanks?						yes			Can you direct me to The Wood Norton thanks
26	I need to find a way to Sherburne Preparatory School. Thanks.	I need to find the way to Sherbin prepared her school. Thanks.	I need to find a way to Sherburn preparatory school thanks	27	I need to find the way to Sherburne Preparatory School									I need to find the way to Sherborne Preparatory School. thanks
27	Please give me directions to Oaks Avenue	Please give me directions to Oaks Avenue thanks.	Please give me directions to Oaks Avenue thanks	28	Please give me directions to Oaks Avenue thanks	yes	yes	yes	yes	yes	yes	yes	yes	Please give me directions to Oaks Avenue. thanks
28	I'm trying to locate St. Stephen's College. Can you assist? Thanks.	I'm trying to locate snitstephus college. Can you assist? Thanks.	I'm trying to locate Stephen's college. Can you assist? Thanks.	29	I'm trying to locate St Stephen's College. Can you assist? Thanks.					yes	yes			I'm trying to locate Saint Stephens College. Can you assist? thanks
29	I need help finding my way to Greenfields Lane. Thanks	I need help finding my way to Greenfields Lane. Thanks	I need help finding my way to Greenfields Lane. Thanks	30	I need help finding my way to Greenfields Lane thanks		yes	yes	yes	yes	yes	yes	yes	I need help finding my way to Greenfields Lane. thanks
30	Can you assist me in finding the route to Lashin Canada? Thanks.	Can you assist me in finding the route to Lashina Cannon? Thanks.	Can you assist me in finding the route to Lishina Canada? Thanks.	31	Can you assist me in finding the root to Lashina Kanina? Thanks.									Can you assist me in finding the route to Lisheennacannina? thanks
31	Help me navigate two specific rainy drive thanks.	Help me navigate to specific rainier dry fenks.	Help me navigate to specific rainier drive thanks	32	Help me navigate to specific renier dry fen					yes				Help me navigate to specific Rainier Drive thanks
32	Can you provide me with directions to Kildee me thinks?	Can you provide me with directions to kildimi thanks?	Can he provide me with directions to Kildee? Meethinks	33	Can you provide me with directions to kill Dimi? Thanks.									Can you provide me with directions to Kildeemea thanks
33	I require guidance to reach high witch thanks.	I require guidance to reach high witch thanks	I require guidance to reach high witch thanks	34	I require guidance to reach high wych thanks.		yes		yes		yes			I require guidance to reach High Wych. thanks
34	I'm looking for assistance in reaching round Woodrive thanks	I'm looking for assistance in reaching round wood dry fan	I'm looking for assistance in reaching round wood rive. Thanks	35	I'm looking for assistance in reaching round wood drive thanks.						yes			I'm looking for assistance in reaching Roundwood Drive. thanks
35	Can you lead me to beetle churchyard using Tomtom? Thanks.	Can you lead me to bead la churchyard using Tomtom? Thanks	Can you lead me to Beatle churchyard using Tomtom? Thanks.	36	Can you lead me to be Dale Churchyard using Tomtom? Thanks.						yes			Can you lead me to Bedale Churchyard using TomTom? thanks
36	I need to navigate to Rymer Pl. Can you help me? Thanks.	I need to navigate to rhyme a place. Can you help me? Thanks.	I need to navigate to Raima pl. Can you help me? Thanks	37	I need to navigate to rhyme or place. Can you help me? Thanks.									I need to navigate to Rymer Place. Can you help me? thanks
37	Can you guide me to Academy hotel thanks?	Can you guide me to Academy hotel thanks?	Can you guide me to Academy hotel thanks?	38	Can you guide me to Academy hotel thanks?	yes	yes	yes	yes	yes	yes	yes	yes	Can you guide me to Academy Hotel thanks
38	I'm seeking directions to Potter Hill placed thanks	I'm seeking directions to Potahill Place	I'm seeking directions to Peter Hill placed thanks	39	I'm seeking directions to Pahrill place thanks.									I'm seeking directions to Potterhill Place. thanks
39	Can you show me the way to St Bartholomew Hospital using Tomtom? Thanks.	Can you show me the way to snipothalamus hospital using Tomtom? Thanks.	can you show me the way to St Bartholomew's Hospital using Tomtom? Thanks	40	Can you show me the way to Saint Bartholomew's Hospital using Tomtom? Thanks.						yes			Can you show me the way to Saint Bartholomew's Hospital using TomTom? thanks
40	assist me in reaching Churchill Barrier thinks	Assist me in reaching to your shilberry	Assist me in reaching Churchill Barrier thinks	41	Assist me in reaching Churchill Barrier thanks.						yes			Assist me in reaching Churchill Barrier thanks
41	I need to find my way to Balan toy Harbor Cafe. Can you help me? Thanks.	I need to find my way to Balentoi Haba Cafe. Can you help me? Thanks	I need to find my way to Ballinjoy Harbor Cafe. Can you help me? Thanks.	42	I need to find my way to Bolin Toy Harbor Cafe. Can you help me? Thanks									I need to find my way to Ballintoy Harbour Cafe. Can you help me thanks
42	direct me to Plasmarconi thinks	Direct my two plus machinathanks.	direct me to Plas Marconi thinks	43	Direct me to Plas Marconi thanks.						yes			Direct me to Plás Marconi thanks
43	I need assistance finding the route to Bradbury Churchyard. Thanks	I need assistance finding the route to Bredbury Church Yard. Thanks.	I need assistance finding the root of Bradbury Churchyard. Thanks	44	I need assistance finding the route to Bradbury Churchyard. Thanks.							yes		I need assistance finding the route to Bredbury Churchyard thanks
44	Can you navigate me to Sacred Heart Catholic comprehensive school? Thanks	Can you navigate me to sacred hot Catholic comprehensive school thinks?	Can you navigate me to sacred heart Catholic, comprehensive school? Thanks.	45	Can you navigate me to Sacred Heart Catholic comprehensive school thanks?			yes		yes	yes		yes	Can you navigate me to Sacred Heart Catholic Comprehensive School thanks
45	I'm looking for directions to reach middle entrance drive using Tomtom. Thanks	I'm looking for directions to reach midla entrance drive using Tomtom. Thanks.	I'm looking for directions to reach middle entrance drive using Tomtom. Thanks	46	I'm looking for directions to reach middle entrance drive using Tomtom. Thanks.			yes		yes	yes		yes	I'm looking for directions to reach Middle Entrance Drive using TomTom. thanks
46	Can you provide me with the route to Edith Cook way? Thanks.	Can you provide me with the route to Edith Cookway? Thanks	Can you provide me with the route to Edith Cookway? Thanks.	47	Can you provide me with the route to Edith Cookway? Thanks.	yes	yes	yes	yes	yes	yes	yes	yes	Can you provide me with the route to Edith Cook Way? thanks
47	I require assistance to reach cops rd thanks.	I require assistance to reach cops word banks.	I require assistance to reach cops rd thanks.	48	I require assistance to reach cops rd thanks.	yes		yes						I require assistance to reach Copse Road thanks
48	I'm trying to locate Harvard Court. Can you guide me? Thinks	I'm trying to locate Harvard Kot can you guide me? Thanks.	I'm trying to locate Harvard Court. Can you guide me? Thanks.	49	I'm trying to locate Harvard Court. Can you guide me? Thanks.	yes		yes		yes	yes			I'm trying to locate Harvard Court. Can you guide me thanks
49	I need help finding my way to Houseman Park using Tomtom. Thanks.	I need help finding my way to Houseman pop using Tomtom. Thanks	I need help finding my way to Houseman Park using Tom Tom. Thanks	50	I need help finding my way to Houseman Park using Tomtom. Thanks			yes						I need help finding my way to Housman Park using TomTom. thanks
50	Can you assist me in finding the way to Carromena? Thanks.	Can you assist me in finding the way two caromena thinks?	Can you assist me in finding the way to kerominang thanks?	51	Can you assist me in finding the way to paramedic thanks									Can you assist me in finding the way to Carrowmenagh thanks
51	Help me navigate to specifics and acid growth using Tomtom. Thanks	Help me navigate to specific snit Asif curve using Tomtom thinks.	Help me navigate to specific Saint Asif Grove using Tom Tom. Thanks	52	Help me navigate to specific saint as Afghrove using Tomtom. Thanks.									Help me navigate to specific Saint Asaph Grove using TomTom thanks
52	Can you give me directions to Courtley Avenue thanks?	Can you give me directions to Cotley Avenue thanks?	Can you give me directions to Courtley Avenue thanks	53	Can you give me directions to Cotley Avenue thanks?									Can you give me directions to Cautley Avenue thanks
53	I require guidance to reach Belmondo coffee using Tom Tom. Thanks	I require guidance to reach Belmonta coffee using Tomtom. Thanks.	I require guidance to reach Bill Mondo coffee using Tom Tom. Thanks	54	I require guidance to reach Bellmindo Coffee using Tomtom						yes		yes	I require guidance to reach Belmondo Coffee using TomTom. thanks
54	I'm looking for assistance in reaching Blindon Lane with Tom Tom. Thanks	I'm looking for assistance in reaching Blinden Lane with Tomtom. Thanks	I'm looking for assistance in reaching blind and lane with Tom Tom. Thanks.	55	I'm looking for assistance in reaching Blinden Lane with Tom Tom. Thanks.						yes		yes	I'm looking for assistance in reaching Blindon Lane with TomTom. thanks
55	Can you lead me to whisker center using Tom Tom's guidance? Thanks	Can you lead me to is cassenta using Tom Tom's guidance? Thanks.	Can you lead me to Isca Center using Tom Tom's guidance? Thanks	56	Can you lead me to the center using Tom Tom's guidance? Thanks.									Can you lead me to Isca Centre using TomTom's guidance? thanks
56	I need to navigate two more house school with Tom Tom's help. Can you assist? Thanks.	I need to navigate to Moriah House School with Tom Tom's help. Can you assist? Thanks.	I need to navigate to Moriah House School with Tom Tom's help. Can you assist? Thanks.	57	I need to navigate to Moria House School with Tom Tom's help. Can you assist? Thanks						yes			I need to navigate to Moria House School with TomTom's help. Can you assist? thanks
57	Can you guide me to paint using Tom Tom's navigation? Thanks.	Can you guide me two pains using Tom Tom's navigation? Thanks.	Can you guide me to paint using Tom Tom's navigation? Thanks.	58	Can you guide me to paint using Tom Tom's navigation? Thanks.	yes		yes						Can you guide me to Pained using TomTom's navigation thanks
58	I'm seeking directions to reach Grove Mount Park with Tomtom's assistance. Thanks	I'm seeking directions to reach curve Mount Poc with Tomtom's assistance. Thanks.	I'm seeking directions to reach Glover Mount Park with Tomtom's assistance. Thanks	59	I'm seeking directions to reach Grove Mount Park with Tomtom's assistance. Thanks.						yes			I'm seeking directions to reach Grovemount Park with TomTom's assistance. thanks
59	Can you show me the way to Aztec hotel using Tom Tom's directions? Thanks.	Can you show me the way to Aztec hotel using Tomtom's directions? Thanks.	Can you show me the way to Aztec hotel using Tomtom's directions? Thanks	60	Can you show me the way to Aztec hotel using Tomtom's directions? Thanks.		yes	yes	yes	yes	yes	yes	yes	Can you show me the way to Aztec Hotel using TomTom's directions? thanks
60	assist me in reaching glams rd adventure playground using Tom Tom's navigation thanks	Assist me in reaching gloms were an adventure playground using Tom Tom's navigation. Thanks	Assist me in reaching glams rd adventure playground using Tom Tom's navigation. Thanks	61	Assist me in reaching glamis wrote adventure playground using Tom Tom's navigation. Thanks.									Assist me in reaching Glamis Road Adventure Playground using TomTom's navigation thanks
61	I need to find my way to pasture away with Tom Tom's help. Can you guide? Thanks.	I need to find my way to posture way with Tom Tom's help. Can you guide? Thanks	I need to find my way to pasture away with Tom Tom's help. Can you guide? Thanks.	62	I need to find my way to pasture way with Tom Tom's help. Can you guide? Thanks						yes			I need to find my way to Pasture Way with TomTom's help. Can you guide? thanks
62	direct me to brambling cliffs with Tomtom's assistance. Thanks	Direct me to Brambling close with Tom Tom's assistant	Direct me to Bramblingcliffe with Tomtom 's assistance. Thanks	63	Direct me to Brambling close with Tom Tom's assistance thanks						yes			Direct me to Brambling Close with TomTom's assistance thanks
63	I need assistance finding the route to Halls Road playing fields with Tom Toms guidance. Thanks	I need assistance finding the route to Hall's word playing fields with Tom Tom's guidance. Thanks.	I need assistance finding the route to Halls Road playing fields with Tom Toms guidance. Thanks	64	I need assistance finding the route to Halls Road playing fields with Tom Tom's guidance. Thanks.			yes		yes	yes		yes	I need assistance finding the route to Halls Road Playing Fields with TomTom's guidance. thanks
64	Can you navigate me to Blue Street using Tom Tons directions? Thanks.	Can you navigate me to Blue Street using Tom Tom's directions? Thanks.	Can you navigate me to Blue Street using Tom Tom's directions? Thanks.	65	Can you navigate me to Blue Street using Tom Tom's directions? Thanks.	yes		yes						Can you navigate me to Blews Street using TomTom's directions? thanks
65	I'm looking for directions to reach line by using Tom Tom's guidance. Thanks.	I'm looking for directions to reach Lime Bay using Tomtom's guidance. Thanks.	I'm looking for directions to reach line by using Tom Tom's guidance. Thanks.	66	I'm looking for directions to reach Lime Bay using Tom Tom's guidance. Thanks.									I'm looking for directions to reach Lyme Bay using TomTom's guidance. thanks
66	Can you provide me with the route to old milliard using Tomtom assistance? Thanks.	Can you provide me with the route to old miliad using Tom Tom's assistance? Thanks.	Can you provide me with the route to El Miliard using Tomtom assistance? Thanks	67	Can you provide me with the route to old mill yard using Tomtoms assistance? Thanks.						yes			Can you provide me with the route to Old Mill Yard using TomTom's assistance? thanks
67	I require assistance to reach Holy Trinity Church Center with Tom Toms. Thanks	I require assistance to reach for La Trinity Church Santa with Tom Tom's thanks	I require assistance to reach Holy Trinity Church Center with Tom Toms. Thanks.	68	I require assistance to reach Holy Trinity Church Center with Tom Toms. Thanks			yes						I require assistance to reach Holy Trinity Church Centre with TomTom's thanks
